373.000000    1695.890000
385.712000    2373.850000
417.492000    3051.810000
452.449000    3560.280000
484.229000    4238.240000
516.008000    4916.190000
547.788000    5594.150000
579.568000    6272.110000
608.169000    6950.070000
639.949000    7628.020000
671.729000    8305.980000
700.331000    8983.940000
732.110000    9661.900000
760.712000    10339.900000
792.492000    11017.800000
821.093000    11526.300000
849.695000    12204.200000
878.297000    12882.200000
903.720000    13560.200000
932.322000    14238.100000
957.746000    14916.100000
983.169000    15594.000000
1008.590000    16272.000000
1034.020000    16949.900000
1059.440000    17627.900000
1084.860000    18305.900000
1107.110000    18983.800000
1129.360000    19661.800000
1151.600000    20339.700000
1173.850000    21017.700000
1196.090000    21695.600000
1215.160000    22204.100000
1237.410000    22882.100000
1256.470000    23560.000000
1275.540000    24238.000000
1291.430000    24915.900000
1310.500000    25593.900000
1326.390000    26271.900000
1345.460000    26949.800000
1361.350000    27627.800000
1374.060000    28305.700000
1389.950000    28983.700000
1405.840000    29661.600000
1418.550000    30339.600000
1431.260000    31017.600000
1443.970000    31695.500000
1456.690000    32373.500000
1469.400000    33051.400000
1478.930000    33729.400000
1491.640000    34407.300000
1501.180000    35085.300000
1510.710000    35763.300000
1520.250000    36441.200000
1529.780000    37119.200000
1539.310000    37797.100000
1545.670000    38475.100000
1555.200000    39153.100000
1561.560000    39831.000000
1571.090000    40509.000000
1577.450000    41186.900000
1583.810000    41864.900000
1590.160000    42542.800000
1596.520000    43220.800000
1599.690000    43898.800000
1606.050000    44576.700000
1612.410000    45254.700000
1615.580000    45932.600000
1621.940000    46610.600000
1625.120000    47288.500000
1628.300000    47966.500000
1631.470000    48644.500000
1637.830000    49322.400000
1641.010000    50000.400000
1644.190000    50678.300000
1647.360000    51356.300000
1650.540000    52034.200000
1653.720000    52712.200000
1653.720000    53390.200000
1656.900000    54068.100000
1660.080000    54746.100000
1663.250000    55424.000000
1663.250000    56102.000000
1666.430000    56780.000000
1669.610000    57457.900000
1669.610000    58135.900000
1672.790000    58813.800000
1672.790000    59491.800000
1675.970000    60169.700000
1675.970000    60847.700000
1679.140000    61525.700000
1679.140000    62203.600000
1682.320000    62881.600000
1682.320000    63559.500000
1682.320000    64237.500000
1685.500000    65084.900000
1685.500000    65762.900000
1688.680000    66440.800000
1688.680000    67457.800000
1691.860000    69152.700000
1695.030000    70847.600000
1695.030000    72542.500000
1698.210000    74237.400000
1701.390000    76101.700000
1701.390000    77796.600000
